Country,Year,TFR,TFR*,TFRp*,MAFB
Czech Republic,1980,2.11,2.05,2.09,22.4
Czech Republic,1981,2.02,2.01,2.07,22.4
Czech Republic,1982,2.01,1.97,2.05,22.4
Czech Republic,1983,1.97,1.98,2.05,22.3
Czech Republic,1984,1.98,2.03,2.05,22.3
Czech Republic,1985,1.97,2.10,2.08,22.4
Czech Republic,1986,1.95,2.08,2.08,22.4
Czech Republic,1987,1.92,2.01,2.05,22.4
Czech Republic,1988,1.95,2.05,2.06,22.4
Czech Republic,1989,1.89,1.95,2.01,22.5
Czech Republic,1990,1.91,1.93,2.00,22.5
Czech Republic,1991,1.86,1.93,1.97,22.4
Czech Republic,1992,1.72,1.87,1.93,22.5
Czech Republic,1993,1.67,2.04,2.01,22.6
Czech Republic,1994,1.44,2.08,2.03,22.9
Czech Republic,1995,1.28,1.97,2.00,23.3
Czech Republic,1996,1.19,1.78,1.92,23.7
Czech Republic,1997,1.18,1.71,1.87,24.0
Czech Republic,1998,1.16,1.63,1.83,24.4
Czech Republic,1999,1.14,1.64,1.82,24.6
Czech Republic,2000,1.15,1.78,1.87,24.9
Czech Republic,2001,1.15,1.70,1.83,25.3
Czech Republic,2002,1.17,1.64,1.78,25.6
Czech Republic,2003,1.18,1.70,1.77,25.9
Czech Republic,2004,1.23,1.78,1.80,26.3
Czech Republic,2005,1.28,1.81,1.81,26.6
Czech Republic,2006,1.33,1.77,1.78,26.9
Czech Republic,2007,1.44,1.85,1.84,27.1
Czech Republic,2008,1.50,1.82,1.82,27.3
Czech Republic,2009,1.49,1.72,1.74,27.4
Czech Republic,2010,1.49,1.78,1.77,27.6
Czech Republic,2011,1.43,1.64,1.69,27.8
Czech Republic,2012,1.45,1.62,1.66,27.9
Czech Republic,2013,1.46,1.59,1.64,28.1
Czech Republic,2014,1.53,.,1.66,28.1
Austria,1980,1.65,1.78,.,23.6
Austria,1981,1.67,1.85,.,23.7
Austria,1982,1.66,1.89,.,23.8
Austria,1983,1.56,1.78,.,24.0
Austria,1984,1.52,1.76,.,24.1
Austria,1985,1.47,1.74,.,24.3
Austria,1986,1.45,1.70,.,24.4
Austria,1987,1.43,1.64,.,24.6
Austria,1988,1.45,1.61,.,24.7
Austria,1989,1.45,1.66,.,24.8
Austria,1990,1.46,1.61,.,24.9
Austria,1991,1.51,1.58,1.68,24.9
Austria,1992,1.51,1.61,1.69,25.0
Austria,1993,1.50,1.72,1.73,25.1
Austria,1994,1.47,1.80,1.76,25.4
Austria,1995,1.42,1.73,1.72,25.6
Austria,1996,1.45,1.74,1.75,25.9
Austria,1997,1.39,1.59,1.65,26.0
Austria,1998,1.37,1.55,1.61,26.1
Austria,1999,1.34,1.52,1.60,26.3
Austria,2000,1.36,1.59,1.64,26.4
Austria,2001,1.33,1.60,1.65,26.5
Austria,2002,1.39,1.68,1.70,26.7
Austria,2003,1.38,1.59,1.65,26.9
Austria,2004,1.42,1.64,1.67,27.0
Austria,2005,1.40,1.73,1.72,27.2
Austria,2006,1.40,1.69,1.70,27.5
Austria,2007,1.38,1.61,1.67,27.6
Austria,2008,1.41,1.70,1.70,27.8
Austria,2009,1.39,1.70,1.69,28.0
Austria,2010,1.44,1.79,1.74,28.2
Austria,2011,1.43,1.78,1.74,28.5
Austria,2012,1.44,1.70,1.71,28.7
Austria,2013,1.44,1.63,1.65,28.8
Austria,2014,1.47,.,.,28.9
Spain,1980,2.22,2.57,.,25.1
Spain,1981,2.04,2.30,2.31,25.3
Spain,1982,1.94,2.18,2.25,25.4
Spain,1983,1.80,2.05,2.16,25.5
Spain,1984,1.73,2.04,2.11,25.7
Spain,1985,1.64,1.94,1.99,25.8
Spain,1986,1.56,1.87,1.98,26.0
Spain,1987,1.49,1.76,1.92,26.1
Spain,1988,1.45,1.78,1.86,26.3
Spain,1989,1.40,1.80,1.88,26.6
Spain,1990,1.36,1.79,1.88,26.8
Spain,1991,1.33,1.84,1.79,27.2
Spain,1992,1.32,1.80,1.75,27.5
Spain,1993,1.27,1.73,1.71,27.8
Spain,1994,1.20,1.64,1.67,28.1
Spain,1995,1.17,1.50,1.62,28.4
Spain,1996,1.16,1.49,1.61,28.5
Spain,1997,1.17,1.52,1.58,28.7
Spain,1998,1.15,1.40,1.51,28.9
Spain,1999,1.19,1.38,1.48,29.0
Spain,2000,1.23,1.35,1.44,29.1
Spain,2001,1.24,1.33,1.42,29.2
Spain,2002,1.26,1.35,1.42,29.2
Spain,2003,1.31,1.37,1.43,29.3
Spain,2004,1.33,1.37,1.41,29.4
Spain,2005,1.34,1.35,1.39,29.4
Spain,2006,1.38,1.31,1.36,29.4
Spain,2007,1.39,1.30,1.34,29.3
Spain,2008,1.46,1.58,1.48,29.3
Spain,2009,1.39,1.70,1.52,29.6
Spain,2010,1.39,1.71,1.53,29.8
Spain,2011,1.34,1.64,1.52,30.1
Spain,2012,1.32,1.50,1.45,30.3
Spain,2013,1.27,1.44,1.41,30.4
Spain,2014,1.32,.,1.43,30.6
